      #Energy        PDOS
     -21.17720       0.00000
     -21.16720       0.00000
     -21.15720       0.00000
     -21.14720       0.00000
     -21.13720       0.00000
     -21.12720       0.00000
     -21.11720       0.00000
     -21.10720       0.00000
     -21.09720       0.00000
     -21.08720       0.00000
     -21.07720       0.00000
     -21.06720       0.00000
     -21.05720       0.00000
     -21.04720       0.00000
     -21.03720       0.00000
     -21.02720       0.00000
     -21.01720       0.00000
     -21.00720       0.00000
     -20.99720       0.00000
     -20.98720       0.00000
     -20.97720       0.00000
     -20.96720       0.00000
     -20.95720       0.00000
     -20.94720       0.00000
     -20.93720       0.00000
     -20.92720       0.00000
     -20.91720       0.00000
     -20.90720       0.00000
     -20.89720       0.00000
     -20.88720       0.00000
     -20.87620       0.00000
     -20.86620       0.00000
     -20.85620       0.00000
     -20.84620       0.00000
     -20.83620       0.00000
     -20.82620       0.00000
     -20.81620       0.00000
     -20.80620       0.00000
     -20.79620       0.00000
     -20.78620       0.00000
     -20.77620       0.00000
     -20.76620       0.00000
     -20.75620       0.00000
     -20.74620       0.00000
     -20.73620       0.00000
     -20.72620       0.00000
     -20.71620       0.00000
     -20.70620       0.00000
     -20.69620       0.00000
     -20.68620       0.00000
     -20.67620       0.00000
     -20.66620       0.00000
     -20.65620       0.00000
     -20.64620       0.00000
     -20.63620       0.00000
     -20.62620       0.00000
     -20.61620       0.00000
     -20.60620       0.00000
     -20.59620       0.00000
     -20.58620       0.00000
     -20.57520       0.00000
     -20.56520       0.00000
     -20.55520       0.00000
     -20.54520       0.00000
     -20.53520       0.00000
     -20.52520       0.00000
     -20.51520       0.00000
     -20.50520       0.00000
     -20.49520       0.00000
     -20.48520       0.00000
     -20.47520       0.00000
     -20.46520       0.00000
     -20.45520       0.00000
     -20.44520       0.00000
     -20.43520       0.00000
     -20.42520       0.00000
     -20.41520       0.00000
     -20.40520       0.00000
     -20.39520       0.00000
     -20.38520       0.00000
     -20.37520       0.00000
     -20.36520       0.00000
     -20.35520       0.00000
     -20.34520       0.00000
     -20.33520       0.00000
     -20.32520       0.00000
     -20.31520       0.00000
     -20.30520       0.00000
     -20.29520       0.00000
     -20.28520       0.00000
     -20.27520       0.00000
     -20.26420       0.00000
     -20.25420       0.00000
     -20.24420       0.00000
     -20.23420       0.00000
     -20.22420       0.00000
     -20.21420       0.00000
     -20.20420       0.00000
     -20.19420       0.00000
     -20.18420       0.00000
     -20.17420       0.00000
     -20.16420       0.00000
     -20.15420       0.00000
     -20.14420       0.00000
     -20.13420       0.00000
     -20.12420       0.00000
     -20.11420       0.00000
     -20.10420       0.00000
     -20.09420       0.00000
     -20.08420       0.00000
     -20.07420       0.00000
     -20.06420       0.00000
     -20.05420       0.00000
     -20.04420       0.00000
     -20.03420       0.00000
     -20.02420       0.00000
     -20.01420       0.00000
     -20.00420       0.00000
     -19.99420       0.00000
     -19.98420       0.00000
     -19.97420       0.00000
     -19.96420       0.00000
     -19.95320       0.00000
     -19.94320       0.00000
     -19.93320       0.00000
     -19.92320       0.00000
     -19.91320       0.00000
     -19.90320       0.00000
     -19.89320       0.00001
     -19.88320       0.00001
     -19.87320       0.00001
     -19.86320       0.00001
     -19.85320       0.00001
     -19.84320       0.00001
     -19.83320       0.00001
     -19.82320       0.00002
     -19.81320       0.00002
     -19.80320       0.00002
     -19.79320       0.00002
     -19.78320       0.00002
     -19.77320       0.00002
     -19.76320       0.00002
     -19.75320       0.00003
     -19.74320       0.00003
     -19.73320       0.00003
     -19.72320       0.00003
     -19.71320       0.00003
     -19.70320       0.00003
     -19.69320       0.00003
     -19.68320       0.00003
     -19.67320       0.00003
     -19.66320       0.00003
     -19.65320       0.00004
     -19.64220       0.00004
     -19.63220       0.00004
     -19.62220       0.00005
     -19.61220       0.00005
     -19.60220       0.00005
     -19.59220       0.00006
     -19.58220       0.00006
     -19.57220       0.00006
     -19.56220       0.00006
     -19.55220       0.00007
     -19.54220       0.00007
     -19.53220       0.00007
     -19.52220       0.00007
     -19.51220       0.00007
     -19.50220       0.00007
     -19.49220       0.00007
     -19.48220       0.00007
     -19.47220       0.00007
     -19.46220       0.00007
     -19.45220       0.00007
     -19.44220       0.00007
     -19.43220       0.00007
     -19.42220       0.00007
     -19.41220       0.00007
     -19.40220       0.00008
     -19.39220       0.00009
     -19.38220       0.00010
     -19.37220       0.00011
     -19.36220       0.00012
     -19.35220       0.00014
     -19.34120       0.00016
     -19.33120       0.00018
     -19.32120       0.00021
     -19.31120       0.00024
